,Location,t,method,order,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL,Level,Station
340,3,40,extrapolated,0,69.524,57.693,81.354,1,1,1,Location,S2
341,3,41,extrapolated,0,69.524,57.693,81.354,1,1,1,Location,S2
342,3,42,extrapolated,0,69.524,57.693,81.354,1,1,1,Location,S2
343,3,43,extrapolated,0,69.524,57.693,81.354,1,1,1,Location,S2
344,3,44,extrapolated,0,69.524,57.693,81.354,1,1,1,Location,S2
345,3,45,extrapolated,0,69.524,57.693,81.355,1,1,1,Location,S2
346,3,46,extrapolated,0,69.524,57.693,81.355,1,1,1,Location,S2
347,3,47,extrapolated,0,69.524,57.693,81.355,1,1,1,Location,S2
348,3,48,extrapolated,0,69.524,57.693,81.355,1,1,1,Location,S2
349,3,49,extrapolated,0,69.524,57.693,81.355,1,1,1,Location,S2
